method,sequence,accuracy,recall,fps,reinit,frames
pmmh,blanket,0.833662,0.635256,20.4545,3,225
pmmh,blanket,0.818822,0.719183,11.8421,1,225
pmmh,blanket,0.789814,0.727862,11.25,2,225
pmmh,blanket,0.71997,0.608616,11.8421,1,225
pmmh,blanket,0.768836,0.757623,10.7143,2,225
pmmh,blanket,0.734676,0.650881,11.25,1,225
pmmh,blanket,0.713983,0.627248,11.8421,1,225
pmmh,blanket,0.760021,0.717507,15,2,225
pmmh,blanket,0.771432,0.743291,10.7143,2,225
tracker,blanket,0.739554,0.673474,112.5,1,225
tracker,blanket,0.757515,0.736584,75,2,225
tracker,blanket,0.712815,0.60307,112.5,2,225
tracker,blanket,0.795305,0.756459,112.5,2,225
tracker,blanket,0.705492,0.482422,225,0,225
tracker,blanket,0.665265,0.661732,112.5,2,225
tracker,blanket,0.741372,0.669461,75,1,225
tracker,blanket,0.703226,0.480345,112.5,0,225
tracker,blanket,0.763962,0.741953,112.5,2,225
tracker,blanket,0.745999,0.723221,75,3,225
tracker,blanket,0.746466,0.644478,112.5,1,225
tracker,blanket,0.767737,0.771131,75,2,225
tracker,blanket,0.686732,0.467664,112.5,0,225
tracker,blanket,0.762772,0.655621,112.5,1,225
tracker,blanket,0.703269,0.585991,112.5,2,225
pmmh,bmx,0.750372,0.568939,0.938272,1,76
pmmh,bmx,0.738691,0.563772,1.35714,1,76
pmmh,bmx,0.754508,0.555255,1.35714,1,76
pmmh,bmx,0.656056,0.490415,1.38182,1,76
pmmh,bmx,0.613762,0.504668,0.826087,3,76
pmmh,bmx,0.782862,0.602366,1.35714,2,76
pmmh,bmx,0.803738,0.578373,0.926829,1,76
pmmh,bmx,0.734064,0.505635,1.05556,4,76
pmmh,bmx,0.591015,0.623168,0.745098,2,76
pmmh,bmx,0.760436,0.561782,1.38182,1,76
pmmh,bmx,0.764613,0.352495,1,1,76
pmmh,bmx,0.755947,0.568916,1.43396,2,76
pmmh,bmx,0.751581,0.557108,0.926829,1,76
pmmh,bmx,0.629626,0.489611,0.894118,3,76
pmmh,bmx,0.642241,0.469572,0.915663,1,76
tracker,bmx,0.58165,0.440877,5.84615,3,76
tracker,bmx,0.75489,0.577732,8.44444,2,76
tracker,bmx,0.786862,0.57173,8.44444,1,76
tracker,bmx,0.829791,0.388452,9.5,1,76
tracker,bmx,0.569667,0.613275,4.47059,2,76
tracker,bmx,0.637519,0.454441,5.42857,3,76
tracker,bmx,0.612401,0.468387,5.42857,2,76
tracker,bmx,0.636002,0.604907,4.75,5,76
tracker,bmx,0.788322,0.603012,8.44444,1,76
tracker,bmx,0.634999,0.46693,5.42857,2,76
tracker,bmx,0.757269,0.30281,8.44444,1,76
tracker,bmx,0.746384,0.520441,6.33333,4,76
tracker,bmx,0.65166,0.451874,6.33333,4,76
tracker,bmx,0.623772,0.492436,5.42857,3,76
tracker,bmx,0.779393,0.563657,9.5,2,76
pmmh,bolt1,0.820259,0.591465,21.875,0,350
pmmh,bolt1,0.797468,0.575722,21.875,0,350
