method,sequence,accuracy,recall,fps,reinit,num_frames
pmmh,soccer2,0.511952,0.542529,18.4286,27,129
pmmh,soccer2,0.534482,0.559714,18.4286,30,129
pmmh,soccer2,0.552164,0.573906,16.125,21,129
pmmh,soccer2,0.502628,0.507237,21.5,27,129
pmmh,soccer2,0.534002,0.557765,18.4286,24,129
pmmh,soccer2,0.550231,0.58563,16.125,25,129
pmmh,soccer2,0.545977,0.573851,25.8,25,129
tracker,soccer2,0.508059,0.524711,129,26,129
tracker,soccer2,0.518324,0.534358,129,24,129
tracker,soccer2,0.537541,0.547956,129,26,129
tracker,soccer2,0.500933,0.513451,129,26,129
tracker,soccer2,0.495727,0.514091,129,27,129
tracker,soccer2,0.529072,0.561587,129,24,129
tracker,soccer2,0.524555,0.55513,129,27,129
tracker,soccer2,0.519109,0.543447,129,25,129
tracker,soccer2,0.573431,0.589697,129,21,129
tracker,soccer2,0.493738,0.5068,129,24,129
tracker,soccer2,0.504552,0.513957,129,26,129
tracker,soccer2,0.531819,0.565141,129,24,129
tracker,soccer2,0.509812,0.523093,129,26,129
tracker,soccer2,0.547371,0.548235,129,25,129
tracker,soccer2,0.504521,0.527077,129,26,129
pmmh,soldier,0.526628,0.520614,4.3125,5,138
pmmh,soldier,0.499877,0.525191,2.875,6,138
pmmh,soldier,0.612209,0.620923,4.18182,8,138
pmmh,soldier,0.600019,0.580699,4.18182,5,138
pmmh,soldier,0.561359,0.564338,3.2093,10,138
pmmh,soldier,0.53685,0.552674,4.05882,6,138
pmmh,soldier,0.526105,0.530537,3.06667,8,138
pmmh,soldier,0.69508,0.677921,3.13636,6,138
pmmh,soldier,0.650769,0.628972,4.05882,4,138
pmmh,soldier,0.566633,0.56823,3.2093,10,138
pmmh,soldier,0.674701,0.64835,3.06667,5,138
pmmh,soldier,0.523612,0.552242,2.93617,7,138
pmmh,soldier,0.70465,0.675713,4.45161,6,138
pmmh,soldier,0.687307,0.637831,3.28571,8,138
pmmh,soldier,0.588143,0.574046,3.28571,8,138
tracker,soldier,0.583596,0.592264,27.6,8,138
tracker,soldier,0.556745,0.530507,27.6,3,138
tracker,soldier,0.644874,0.637493,27.6,7,138
tracker,soldier,0.569278,0.562497,27.6,8,138
tracker,soldier,0.549505,0.524111,23,4,138
tracker,soldier,0.637922,0.651377,27.6,6,138
tracker,soldier,0.528496,0.547261,23,7,138
tracker,soldier,0.565579,0.549389,27.6,7,138
tracker,soldier,0.593513,0.568766,23,5,138
tracker,soldier,0.560141,0.562554,27.6,10,138
tracker,soldier,0.567594,0.535474,27.6,6,138
tracker,soldier,0.56404,0.579866,27.6,7,138
tracker,soldier,0.631158,0.64056,27.6,8,138
tracker,soldier,0.59719,0.612646,23,9,138
tracker,soldier,0.575327,0.587299,27.6,8,138
pmmh,sphere,0.649399,0.629504,3.04545,23,201
pmmh,sphere,0.650392,0.652047,4.10204,21,201
pmmh,sphere,0.664623,0.653094,4.46667,27,201
pmmh,sphere,0.607212,0.611972,3.14062,30,201
pmmh,sphere,0.65935,0.662496,4.46667,34,201
pmmh,sphere,0.639569,0.633421,2.87143,21,201
pmmh,sphere,0.622725,0.617708,4.1875,20,201
pmmh,sphere,0.662957,0.661433,4.36957,26,201
pmmh,sphere,0.605388,0.605212,3,26,201
pmmh,sphere,0.623257,0.625299,4.36957,28,201
pmmh,sphere,0.617256,0.618389,4.2766,27,201
pmmh,sphere,0.647166,0.600266,4.78571,23,201
pmmh,sphere,0.605824,0.605721,2.95588,22,201
pmmh,sphere,0.599815,0.586682,4.1875,14,201
pmmh,sphere,0.61548,0.610373,4.1875,24,201
tracker,sphere,0.632095,0.624903,25.125,26,201
tracker,sphere,0.601471,0.605484,25.125,25,201
tracker,sphere,0.666173,0.683392,22.3333,33,201
tracker,sphere,0.61165,0.605959,25.125,25,201
tracker,sphere,0.653771,0.652701,25.125,26,201
tracker,sphere,0.63254,0.625491,25.125,24,201
tracker,sphere,0.635298,0.626885,25.125,21,201
tracker,sphere,0.617483,0.630184,25.125,27,201
tracker,sphere,0.606834,0.61537,25.125,34,201
tracker,sphere,0.658249,0.661317,25.125,28,201
tracker,sphere,0.632087,0.625709,22.3333,22,201
tracker,sphere,0.642168,0.63922,25.125,27,201
tracker,sphere,0.632352,0.627192,22.3333,21,201
tracker,sphere,0.644175,0.647598,22.3333,21,201
tracker,sphere,0.614659,0.616908,22.3333,23,201
pmmh,tiger,0.492221,0.513484,5.21429,32,365
pmmh,tiger,0.526631,0.521585,5.36765,27,365
pmmh,tiger,0.505216,0.522588,6.88679,23,365
pmmh,tiger,0.48443,0.527368,6.51786,22,365
pmmh,tiger,0.502113,0.512651,5.14085,27,365
pmmh,tiger,0.518388,0.540815,7.01923,32,365
pmmh,tiger,0.517746,0.505851,7.3,25,365
pmmh,tiger,0.504832,0.510582,7.44898,31,365
pmmh,tiger,0.511359,0.531133,5.06944,28,365
pmmh,tiger,0.507724,0.530047,5,25,365
pmmh,tiger,0.531216,0.530439,5.21429,25,365
pmmh,tiger,0.508285,0.53537,6.63636,23,365
pmmh,tiger,0.487327,0.500863,7.01923,25,365
pmmh,tiger,0.482289,0.504839,5.14085,25,365
pmmh,tiger,0.478525,0.481694,7.15686,27,365
tracker,tiger,0.560267,0.580225,40.5556,26,365
tracker,tiger,0.525814,0.536258,40.5556,22,365
tracker,tiger,0.52711,0.546471,40.5556,20,365
tracker,tiger,0.51406,0.528001,40.5556,19,365
tracker,tiger,0.505508,0.526709,40.5556,24,365
tracker,tiger,0.515239,0.515121,40.5556,25,365
tracker,tiger,0.491573,0.515888,40.5556,23,365
tracker,tiger,0.543203,0.549233,45.625,26,365
tracker,tiger,0.488164,0.51262,40.5556,25,365
tracker,tiger,0.505774,0.515055,40.5556,30,365
tracker,tiger,0.52274,0.558142,40.5556,24,365
tracker,tiger,0.525649,0.529817,45.625,25,365
tracker,tiger,0.500874,0.515434,40.5556,23,365
tracker,tiger,0.50484,0.505557,40.5556,30,365
tracker,tiger,0.504145,0.506707,45.625,25,365
pmmh,traffic,0.559489,0.548692,11.9375,13,191
pmmh,traffic,0.513156,0.528065,10.6111,16,191
pmmh,traffic,0.55866,0.566011,11.2353,17,191
pmmh,traffic,0.563032,0.538846,11.2353,14,191
pmmh,traffic,0.591185,0.552552,11.2353,12,191
pmmh,traffic,0.514035,0.552931,14.6923,14,191
pmmh,traffic,0.493023,0.534105,15.9167,12,191
pmmh,traffic,0.51017,0.546036,10.6111,19,191
pmmh,traffic,0.58445,0.615539,14.6923,16,191
pmmh,traffic,0.496358,0.539533,14.6923,14,191
pmmh,traffic,0.514004,0.494651,11.2353,10,191
pmmh,traffic,0.594577,0.610504,15.9167,14,191
pmmh,traffic,0.616359,0.623959,10.6111,8,191
pmmh,traffic,0.587794,0.600771,15.9167,16,191
pmmh,traffic,0.56378,0.524696,10.6111,12,191
tracker,traffic,0.606194,0.650345,95.5,7,191
tracker,traffic,0.584982,0.60995,95.5,4,191
tracker,traffic,0.574111,0.624446,95.5,8,191
tracker,traffic,0.553157,0.613402,95.5,6,191
tracker,traffic,0.512858,0.570314,95.5,5,191
tracker,traffic,0.549702,0.625729,63.6667,9,191
tracker,traffic,0.610579,0.631346,95.5,7,191
tracker,traffic,0.528352,0.55344,95.5,8,191
tracker,traffic,0.610337,0.671909,95.5,7,191
tracker,traffic,0.606805,0.616343,95.5,9,191
tracker,traffic,0.6241,0.654606,95.5,10,191
tracker,traffic,0.639911,0.700653,95.5,8,191
tracker,traffic,0.612097,0.611111,63.6667,7,191
tracker,traffic,0.508072,0.54609,95.5,8,191
tracker,traffic,0.543031,0.58994,95.5,7,191
pmmh,tunnel,0.495493,0.519498,20.8,59,312
pmmh,tunnel,0.536822,0.566114,14.8571,59,312
pmmh,tunnel,0.514788,0.532743,20.8,60,312
pmmh,tunnel,0.56067,0.580874,14.8571,57,312
pmmh,tunnel,0.521,0.539569,16.4211,72,312
pmmh,tunnel,0.525433,0.556172,14.8571,55,312
pmmh,tunnel,0.591493,0.597492,20.8,57,312
pmmh,tunnel,0.550411,0.554523,20.8,65,312
pmmh,tunnel,0.612577,0.555052,15.6,55,312
pmmh,tunnel,0.56805,0.574664,22.2857,60,312
pmmh,tunnel,0.548851,0.550921,20.8,55,312
pmmh,tunnel,0.64526,0.578356,15.6,47,312
pmmh,tunnel,0.50819,0.527364,16.4211,73,312
pmmh,tunnel,0.517477,0.529429,22.2857,69,312
pmmh,tunnel,0.558472,0.570286,15.6,57,312
tracker,tunnel,0.535043,0.555365,156,61,312
tracker,tunnel,0.508673,0.507007,104,55,312
tracker,tunnel,0.456126,0.47143,104,44,312
tracker,tunnel,0.523638,0.538151,156,60,312
tracker,tunnel,0.506004,0.528381,104,50,312
tracker,tunnel,0.499629,0.50414,104,50,312
tracker,tunnel,0.524546,0.537727,156,69,312
tracker,tunnel,0.487357,0.50348,156,51,312
tracker,tunnel,0.491509,0.503771,104,46,312
tracker,tunnel,0.51,0.532148,104,54,312
tracker,tunnel,0.493501,0.516896,156,57,312
tracker,tunnel,0.469556,0.483966,104,37,312
tracker,tunnel,0.518268,0.533887,104,54,312
tracker,tunnel,0.530432,0.53966,104,55,312
tracker,tunnel,0.5133,0.542442,104,58,312
pmmh,wiper,0.635901,0.623895,16.2381,27,341
pmmh,wiper,0.582686,0.5927,11.7586,36,341
pmmh,wiper,0.590676,0.620582,15.5,35,341
pmmh,wiper,0.596302,0.643387,11,32,341
pmmh,wiper,0.623604,0.610355,11.7586,36,341
pmmh,wiper,0.606354,0.651536,14.8261,26,341
pmmh,wiper,0.606322,0.567568,17.05,38,341
pmmh,wiper,0.703174,0.71791,15.5,24,341
pmmh,wiper,0.558564,0.531668,12.1786,38,341
pmmh,wiper,0.633188,0.65138,15.5,30,341
pmmh,wiper,0.578195,0.520689,17.9474,30,341
pmmh,wiper,0.561963,0.572844,14.8261,20,341
pmmh,wiper,0.626989,0.656787,14.8261,25,341
pmmh,wiper,0.652188,0.615775,12.1786,33,341
pmmh,wiper,0.581456,0.597266,12.1786,47,341
tracker,wiper,0.699209,0.63107,85.25,22,341
tracker,wiper,0.638386,0.661063,85.25,22,341
tracker,wiper,0.70355,0.70726,85.25,14,341
tracker,wiper,0.630279,0.677417,85.25,22,341
tracker,wiper,0.640707,0.668473,85.25,34,341
tracker,wiper,0.671467,0.6226,113.667,20,341
tracker,wiper,0.635303,0.640844,85.25,24,341
tracker,wiper,0.638811,0.618541,113.667,24,341
tracker,wiper,0.743457,0.765067,85.25,12,341
tracker,wiper,0.621435,0.671883,113.667,21,341
tracker,wiper,0.674929,0.720475,85.25,19,341
tracker,wiper,0.655728,0.628181,85.25,24,341
tracker,wiper,0.634986,0.68486,85.25,22,341
tracker,wiper,0.632725,0.630809,85.25,26,341
tracker,wiper,0.664835,0.646404,113.667,19,341
